# From http://www.helmod.org/files/LIS/ProtonLIS_K.txt
# Last line removed because it introduces a discontinuity in the extrapolation to Ekin>100TeV
# Kinetic Energy [GeV], LIS [(m^2 s sr GeV)^{-1}]
Ekin Flux
1.477888790783060358e+04 5.850123961934834926e-08
1.581341006137875047e+04 4.878889290713473216e-08
1.692034876567526226e+04 4.068873286253684826e-08
1.810477317927253534e+04 3.393318389775928111e-08
1.937210730182161933e+04 2.829908613103858281e-08
2.072815481294913116e+04 2.360030119325091059e-08
2.217912564985558129e+04 1.968158343935713115e-08
2.373166444534547190e+04 1.641344735068259833e-08
2.539288095651965705e+04 1.368790331104907214e-08
2.717038262347604177e+04 1.141487919835857374e-08
2.907230940711937001e+04 9.519254781732982650e-09
3.110737106561773544e+04 7.938377659516102609e-09
3.328488704021098238e+04 6.619995395655158634e-09
3.561482913302576344e+04 5.520528027441478950e-09
3.810786717233757372e+04 4.603630388532658556e-09
4.077541787440120970e+04 3.838990068823799107e-09
4.362969712560930202e+04 3.201327431177942079e-09
4.668377592440196895e+04 2.669558724880886032e-09
4.995164023911011463e+04 2.226101106022142385e-09
5.344825505584782513e+04 1.856290439986548909e-09
5.718963290975717973e+04 1.547897789180557744e-09
6.119290721344020130e+04 1.290724043080176242e-09
6.547641071838102653e+04 1.076263845968260225e-09
7.005975946866770391e+04 8.974239535568238046e-10
7.496394263147446327e+04 7.482889636221352154e-10
8.021141861567768501e+04 6.239256363802217099e-10
8.582621791877514625e+04 5.202188620753585999e-10
9.183405317308942904e+04 4.337125641585633383e-10
9.826243689520569751e+04 3.609431694647947606e-10
